mgrb_entity_id,actor_type,source_actor_type,attempted,successfully_searched,query_method,query_value,executed_interface,online_api_status,gfw_vessel_id,gfw_identity_key,gfw_reported_name,gfw_reported_imo,gfw_reported_mmsi,gfw_reported_callsign,flag,vessel_class_or_type,first_available_date,last_available_date,match_status,match_confidence,resolution_status,match_scope,candidate_count,existing_census_source_ids,identifier_snowball_status,identifier_snowball_notes,discrepancy_notes
AMTI-MM-028,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520163,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-029,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520164,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-030,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520165,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-031,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520166,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-032,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520167,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-033,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520168,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-034,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520169,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-035,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520171,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-036,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520172,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-037,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520173,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-038,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520147,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-039,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520175,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-040,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520201,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-041,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520202,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-042,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520203,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-043,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520204,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-044,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520205,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-045,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520206,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-046,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520207,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-047,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520208,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-048,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520176,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-049,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520177,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
AMTI-MM-050,MARITIME_MILITIA,MILITIA;FISHING,YES,YES,MMSI,412520178,GFW_FISHING_VESSELS_V3_BULK,AUTH_BLOCKED_HTTP_401,,,,,,,,,,,NO_MATCH,,NO_IDENTITY_MATCH,GFW_FISHING_VESSELS_V3_BULK_ONLY,0,amti_hainan_militia,NOT_APPLICABLE_NO_STRONG_GFW_MATCH,Snowballing is required only for a strong/exact GFW match.,No exact MMSI match in the tested Fishing vessels v3 archive; this is not a global GFW no-match because online Vessel Search was token-blocked.
