source_id,provider,product,url,languages,actor_families,evidence_type,geographic_coverage,temporal_coverage,update_cadence_or_lag,identity_fields,spatial_density_or_resolution,temporal_resolution,coordinate_precision,processing_level,quality_flags,uncertainty_model,format,qgis_readiness,access_class,retrieval_test_id,license_or_terms,attribution_required,redistribution,commercial_use,recommended_citation,production_suitability,connector_priority,default_eligible,decision_reason,last_checked_utc
digital_south_china_sea,South China Sea Institute of Oceanology,Digital South China Sea cruise network,https://data.scsio.ac.cn/,Simplified Chinese,RESEARCH,CRUISE_TRACK;STATION_POSITIONS,South China Sea;Western Pacific;Indian Ocean,catalog-dependent,ongoing,4 ships; cruise metadata,435 cruises; 35193 stations advertised,cruise/station,scientific station/navigation,curated catalog,documented by provider,not explicit,web/downloads,connector/conversion,OPEN_OR_REQUEST,,portal/dataset-specific,required,not established,not established,cite provider/product,medium,P1,NO,large catalog but rights and direct bulk access not yet proven,2026-08-25
norc_shared_cruises,National Ocean Research Center of China,NSFC shared research cruises,https://www.norc.com.cn/,Simplified Chinese,RESEARCH,CRUISE_TRACK;STATION_POSITIONS,Western Pacific;Indian Ocean;South China Sea,cruise-specific,annual voyages,ship/cruise,station and underway products vary,cruise-specific,scientific navigation,curated cruise data,documented by provider,not explicit,portal files,conversion,OPEN_OR_REQUEST,,Chinese shared-cruise rules,required,approval/dataset-specific,not established,cite provider/product,medium,P1,NO,"promising institutional source, not a proven unrestricted track feed",2026-08-25
coms_fleet,Chinese Academy of Sciences COMS,Kexue and research fleet catalog,https://www.coms.ac.cn/,Simplified Chinese,RESEARCH,CRUISE_TRACK;STATION_POSITIONS,Western Pacific;Indian Ocean;South China Sea,cruise-specific,varies,vessel/cruise,catalog/sample dependent,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,portal,requires connector or digitization,OPEN_OR_REQUEST,,dataset-specific,required,review terms,review terms,cite provider/product,low,P2,NO,useful discovery/crosswalk source; no stable open bulk track endpoint verified,2026-08-25
xmu_jiageng,Xiamen University,Jia Geng research cruise catalog,https://ships.xmu.edu.cn/,Simplified Chinese,RESEARCH,CRUISE_METADATA;STATION_POSITIONS,Western Pacific;Indian Ocean;South China Sea,2017-present,varies,Jia Geng and cruise,76 cruises and 238660 nautical miles advertised,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,web pages,requires connector or digitization,OPEN_VIEWER,,site/dataset-specific,required,review terms,review terms,cite provider/product,low,P2,NO,metadata-rich but downloadable position series not demonstrated,2026-08-25
cchdo,CCHDO,GO-SHIP/CCHDO cruise station data,https://cchdo.ucsd.edu/,English,RESEARCH,STATION_POSITIONS,Global,historical-present,cruise deposits,ship/cruise/expo code,"station profiles, not continuous track",station timestamps,reported station coordinates,quality-controlled hydrography,documented by provider,not explicit,Exchange/NetCDF,direct station conversion,OPEN_DIRECT,,dataset-specific open scientific terms,required,generally allowed with citation; dataset review,dataset review,cite provider/product,medium,P1,NO,good station evidence and vessel crosswalk; not a trajectory substitute,2026-08-25
mgds_r2r,Marine Geoscience Data System / Rolling Deck to Repository,Cruise tracks and underway geophysics,https://www.marine-geo.org/,English,RESEARCH,CRUISE_TRACK;GEOPHYSICAL_TRACKLINE,Global,historical-present,cruise deposits,ship/cruise,underway navigation where deposited,seconds/minutes dependent,navigation record,curated cruise data,documented by provider,not explicit,CSV/GeoMapApp formats,convert/load,OPEN_DIRECT,,dataset-specific open terms,required,dataset-specific,dataset-specific,cite provider/product,medium,P1,NO,search by Chinese vessel aliases; coverage uneven,2026-08-25
noaa_ncei_trackline,NOAA NCEI,Marine trackline geophysical data,https://www.ncei.noaa.gov/products/marine-trackline-geophysical-data,English,RESEARCH,GEOPHYSICAL_TRACKLINE,Global,historical-present,archive deposits,survey/cruise/vessel,trackline observations,record-dependent,reported navigation,archive/raw and standardized,documented by provider,not explicit,M77T/NetCDF/text,conversion/load,OPEN_DIRECT,,US public data / dataset-specific,required,generally permitted with attribution,generally permitted,cite provider/product,medium,P1,NO,potential Chinese survey coverage requires alias-by-alias query,2026-08-25
seadatanet,SeaDataNet,European cruise and marine data discovery,https://www.seadatanet.org/,English,RESEARCH,CRUISE_TRACK;STATION_POSITIONS,Global,historical-present,varies,cruise/ship,catalog dependent,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,ODV/NetCDF,conversion,OPEN_REGISTRATION,,SeaDataNet/data-originator terms,required,originator terms,review,cite provider/product,low,P2,NO,discovery value; limited expected Chinese operator coverage,2026-08-25
scsdi_dataverse_v1,South China Sea Data Initiative / Harvard Dataverse,South China Sea Data v1,https://doi.org/10.7910/DVN/GCBWA6,English,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,EVENT;OFFICIAL_OBSERVATION,South China Sea;Bashi/Luzon Strait,2009-2019,v1 archived,actor; country; event; source reports,1241 rows; 514 unique events; 747 China-related rows,event/date,six-level location confidence,coded incident/event database,precision level 1-6 and report counts,radii 0.08/0.4/0.7/1.8/7.2 degrees plus unknown,CSV+GeoPackage,verified direct load; supplied uncertainty buffers,OPEN_DIRECT,RT-SCSDI-V1,CC0 1.0 metadata; dataset terms displayed by Dataverse,required,allowed subject to record terms,review record terms,"South China Sea Data Initiative, doi:10.7910/DVN/GCBWA6",high,P0,YES,best open uncertainty-explicit regional event source,2026-08-25
scsdi_live_csv,South China Sea Data Initiative,Current simple CSV,https://scsdi.org/data/,English,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,EVENT,South China Sea,page says 2012-2023; description conflicts with 2009-2019,varies,event fields,approximately 1221 physical lines,provider-dependent,mixed,coded events,malformed CSV quoting/newlines,site methodology,CSV,not reliably parseable,OPEN_DIRECT,RT-SCSDI-LIVE,not clearly stated on current file,required,unclear,unclear,cite provider/product,low,P3,NO,use pinned Dataverse v1 until schema and versioning are repaired,2026-08-25
chinapower_incidents,CSIS ChinaPower,Raw maritime incident data,https://chinapower.csis.org/data/raw-incident-data/,English,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,EVENT;OFFICIAL_OBSERVATION,South China Sea;East China Sea;Global,2010-2020,static research dataset,vessel names and hull-number fields,74 incidents; 63 China rows,incident date,"reported place names, no coordinates",coded incident table,source fields and narrative,location text only,XLSX,geocoding required,OPEN_DIRECT,RT-CHINAPOWER,use without restriction; attribution requested,required,allowed,allowed as stated,CSIS ChinaPower Maritime Incident Data,high,P0,YES,strong open incident/crosswalk evidence; geometry must remain qualified,2026-08-25
amti_hainan_militia,CSIS Asia Maritime Transparency Initiative,Hainan maritime militia vessel list,https://amti.csis.org/behind-the-curtain-an-update-on-hainans-maritime-militia/,English,MILITIA;FISHING,VESSEL_IDENTITY;REFERENCE_TRACK,South China Sea,2024 study; identities current as observed,research updates,name; MMSI1; MMSI2; confidence,149 retrieved rows; 145 primary MMSIs,"identity list, not track",no coordinates in sheet,analyst classification from commercial AIS and research,documented by provider,High Confidence/Likely; series inference disclosed,Google Sheet CSV,identity join only,OPEN_DIRECT,RT-AMTI-MILITIA,page/sheet terms; factual identifiers with attribution,required,raw commercial tracks not included; identifiers attributed,review page terms,"AMTI (2024), Behind the Curtain",high,P0,YES,"best public militia identity crosswalk, not a raw-track source",2026-08-25
amti_ccg_trackers,CSIS AMTI,CCG activity trackers and reports,https://amti.csis.org/,English,CCG,REFERENCE_TRACK;EVENT,Senkaku/Diaoyu;South China Sea;Yellow Sea;Taiwan South,2019-present studies,periodic,CCG hull numbers/names; some vessel-days,report aggregates and maps,daily/incident summaries,map/report dependent,Starboard/MarineTraffic analysis,documented by provider,AIS minimum; dark/spoofing caveats,articles/maps,manual referenced observations only,REFERENCE_ONLY,,commercial AIS underlying; article copyright,required,no raw AIS redistribution,not applicable,cite provider/product,medium,P1,NO,authoritative analytical reference; underlying tracks are commercial,2026-08-25
sealight,SeaLight / Gordian Knot Center,China maritime transparency investigations,https://www.sealight.live/,English,CCG;MILITIA;FISHING;RESEARCH,REFERENCE_TRACK;SATELLITE_IMAGE,South China Sea;East China Sea;Taiwan,periodic current reports,periodic,vessel names/MMSIs/hulls when published,case-specific,provider-dependent,provider-dependent,Starboard AIS plus imagery/OSINT,documented by provider,not explicit,articles/maps,requires connector or digitization,REFERENCE_ONLY,,article copyright; commercial AIS underlying,required,no raw feed,not applicable,cite provider/product,medium,P2,NO,"excellent evidence discovery, not a redistributable data connector",2026-08-25
scspi,South China Sea Strategic Situation Probing Initiative,AIS-based tracking reports,https://www.scspi.org/,Simplified Chinese;English,PLAN;CCG;RESEARCH;FISHING;OTHER,REFERENCE_TRACK;EVENT,South China Sea;Western Pacific,periodic current reports,periodic,vessel names/hulls in reports,case-specific screenshots/tracks,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,reports/maps,requires connector or digitization,REFERENCE_ONLY,,site/report copyright,required,no raw export verified,not established,cite provider/product,medium,P2,NO,important multilingual reference and crosswalk source,2026-08-25
jiia_survey_reports,Japan Institute of International Affairs,Chinese marine survey ship research reports,https://www.jiia.or.jp/eng/report/2026/06/research-report/prc-maritime-2026-01.html,Japanese;English,RESEARCH,REFERENCE_TRACK,East China Sea;Western Pacific;Taiwan East,case studies through 2025,research reports,name; MMSI where published,mapped case tracks,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,HTML/PDF,requires connector or digitization,REFERENCE_ONLY,,report copyright; commercial AIS underlying,required,no raw track,not applicable,cite provider/product,medium,P2,NO,valuable identity and activity evidence; not source data,2026-08-25
japan_joint_staff,Japan Ministry of Defense Joint Staff,Public observations of Chinese naval movements,https://www.mod.go.jp/js/press/,Japanese;English,PLAN;RESEARCH,OFFICIAL_OBSERVATION;MAP_DERIVED,East China Sea;Senkaku/Diaoyu;Western Pacific;Taiwan East;Bashi/Luzon Strait,archive and current,event-driven,ship name/type/hull; observed date/time,sparse official sightings and route maps,observation/event,relative/map-derived; never raw GPS,official observation releases,source document and observation method,digitization uncertainty required,PDF/JPEG/HTML,existing deterministic MGRB observation connector,OPEN_DIRECT,,Japanese government publication terms,required,government terms with attribution,review government terms,cite provider/product,high,P0,NO,best public PLAN observation family for East Asia; R3 did not newly retest a full archive harvest,2026-08-25
japan_jcg_senkaku,Japan Coast Guard,Senkaku contiguous-zone/territorial-sea statistics,https://www.kaiho.mlit.go.jp/mission/senkaku/senkaku.html,Japanese,CCG,OFFICIAL_OBSERVATION;AGGREGATE_PRESENCE,Senkaku/Diaoyu;East China Sea,historical-current,monthly/event updates,hull/name sometimes in releases,daily aggregate/event records,day/event,zone-level or reported location,official statistics,documented by provider,not explicit,HTML/PDF,connector/parser needed,OPEN_DIRECT,,Japanese government publication terms,required,government terms with attribution,review government terms,cite provider/product,high,P0,NO,public longitudinal CCG presence series; full archive retrieval test remains before default,2026-08-25
taiwan_cga,Taiwan Coast Guard Administration,Public Chinese vessel observations/releases,https://www.cga.gov.tw/,Traditional Chinese;English,CCG;FISHING;MILITIA;RESEARCH;OTHER,OFFICIAL_OBSERVATION;EVENT,Taiwan East;Taiwan South;Taiwan Strait;Bashi/Luzon Strait;South China Sea,archive-current,event-driven,hull/name; time; relative position,"sparse observations, not track feed",event/time,reported distance/bearing or map,official releases,documented by provider,conversion uncertainty must be recorded,HTML/PDF/images,existing/extend deterministic observation parser,OPEN_DIRECT,,Taiwan government open-data/publication terms; item review,required,with attribution and item review,item terms,cite provider/product,high,P0,NO,best public CCG evidence around Taiwan; archive-level retrieval/license test remains before default,2026-08-25
taiwan_mnd,Taiwan Ministry of National Defense,Daily PLA activity releases/maps,https://www.mnd.gov.tw/,Traditional Chinese;English,PLAN,OFFICIAL_OBSERVATION;MAP_DERIVED,Taiwan East;Taiwan South;Taiwan Strait;Bashi/Luzon Strait;Western Pacific,daily recent archive,daily,"usually counts/types, occasional hull/name",daily aggregate/map,24-hour reporting window,zone/map approximate,official monitoring summary,documented by provider,map digitization and count-only limitations,HTML/images/PDF,parser/digitizer needed,OPEN_DIRECT,,Taiwan government publication terms,required,with attribution and item review,item terms,cite provider/product,medium,P1,NO,high temporal continuity but limited ship-level identity/coordinates,2026-08-25
philippines_pcg,Philippine Coast Guard / PIA,Public Chinese vessel incident releases,https://coastguard.gov.ph/,English,CCG;MILITIA;FISHING;RESEARCH,OFFICIAL_OBSERVATION;EVENT,South China Sea;Bashi/Luzon Strait,event archive-current,event-driven,names/hulls; relative positions,sparse case observations,event/time,reported distance/bearing/map,official observation,documented by provider,not explicit,HTML/social/PDF,parser/manual verification,OPEN_DIRECT,,Philippine government publication terms,required,government terms with attribution,review,cite provider/product,medium,P1,NO,valuable corroboration and research-vessel identity evidence,2026-08-25
indonesia_bakamla,Indonesia Maritime Security Agency (Bakamla),Chinese vessel interception and monitoring releases,https://www.bakamla.go.id/publication/detail_news/bakamla-bayangi-kapal-survei-china-di-selat-sunda,Indonesian,CCG;RESEARCH;FISHING,OFFICIAL_OBSERVATION;EVENT,South China Sea;Indian Ocean,case-specific archive,event-driven,vessel name/type; sometimes speed/course/relative or exact position,sparse official cases,event/time,release-dependent,official operational report,documented by provider,not systematic; retain quoted precision,HTML/images,parser/manual verification,OPEN_DIRECT,,Indonesian government publication terms,required,government terms with attribution,review,cite provider/product,medium,P1,NO,useful official corroboration; no public bulk track feed,2026-08-25
ioji_reports,Indonesia Ocean Justice Initiative,Maritime security detection reports,https://oceanjusticeinitiative.org/,Indonesian;English,CCG;RESEARCH;FISHING,REFERENCE_TRACK;EVENT,South China Sea;Indian Ocean,periodic case reports,periodic,names/hulls/MMSIs when published,case maps and narrative,provider-dependent,provider-dependent,AIS and satellite analysis,documented by provider,not explicit,PDF/HTML,requires connector or digitization,REFERENCE_ONLY,,report copyright; underlying AIS/satellite terms,required,no raw underlying feed established,not applicable,cite provider/product,medium,P2,NO,"strong Southeast Asian evidence reference, not reusable raw tracks",2026-08-25
china_msa_accidents,Maritime Safety Administration of China,Marine accident investigation reports,https://www.msa.gov.cn/html/hxaq/sgjx/index.html,Simplified Chinese,OTHER;FISHING;RESEARCH,OFFICIAL_OBSERVATION;AIS_EXCERPT;EVENT,Chinese coast;East China Sea;Yellow Sea;South China Sea,case archive,event-driven,case vessel names/registration/MMSI when published,case-specific AIS/VTS/radar extracts or plotted tracks,incident-dependent,report-dependent,official investigation evidence,documented by provider,case method must be retained,PDF/HTML,manual/parser; often map/table excerpts only,OPEN_DIRECT,,Chinese government publication terms,required,government publication terms; raw VTS data not granted,review,cite provider/product,medium,P2,NO,"public evidentiary extracts, not a bulk AIS archive",2026-08-25
taiwan_nodass,Taiwan Ocean Affairs Council / National Academy of Marine Research,NODASS National Ocean Database and Sharing System,https://www.oac.gov.tw/ch/home.jsp?dataserno=202206210001&id=278&mcustomize=onemessages2_view.jsp&parentpath=0%2C4,Traditional Chinese,OTHER;FISHING;RESEARCH,AIS_POSITION;CONTEXT_DATA,Taiwan East;Taiwan South;Taiwan Strait;Bashi/Luzon Strait,catalog-dependent,ongoing,catalog lists AIS among integrated data; file fields/access untested,dataset-dependent,dataset-dependent,dataset-dependent,national data integration portal,documented by provider,not explicit,portal/services,connector requires endpoint/access audit,OPEN_OR_REQUEST,,Taiwan government/dataset-specific terms,required,dataset-specific,dataset-specific,cite provider/product,medium,P1,NO,explicitly relevant Taiwan portal; no actor-specific export or lawful bulk route was proven,2026-08-25
canada_dvd,Government of Canada,Dark Vessel Detection,https://www.canada.ca/en/fisheries-oceans/news/2021/02/canada-launches-new-program-to-detect-and-track-illegal-fishing-vessels.html,English,FISHING;MILITIA;OTHER,SAR_DETECTION,Indo-Pacific;Global partner areas,operational,near-real-time,analyst/partner dependent,spaceborne detections,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,partner system,requires connector or digitization,PARTNER_ONLY,,government partner agreement,required,not public,not public,cite provider/product,low,REJECT,NO,use official releases as references only; no public raw access,2026-08-25
noaa_viirs_vbd,NOAA EOG / Earth Observation Group,VIIRS Boat Detection v23,https://eogdata.mines.edu/products/vbd/,English,FISHING;MILITIA;OTHER,VIIRS_DETECTION,Global,2012-present products,daily; final reprocessing,none; optional AIS correlations,night-light detections,satellite overpass/day,pixel/detection centroid,algorithmic boat detections,documented by provider,quality flags and detection thresholds,CSV/KMZ,direct after valid download,OPEN_REGISTRATION,RT-VIIRS-VBD,NOAA/EOG terms; attribution,required,review product terms,review product terms,cite provider/product,medium,P1,NO,"docs describe open files but tested path returned login HTML, so registration gate is explicit",2026-08-25
sentinel1_raw,Copernicus Data Space Ecosystem,Sentinel-1 SAR,https://dataspace.copernicus.eu/,English,FISHING;MILITIA;CCG;PLAN;RESEARCH;OTHER,SAR_IMAGE,Global,2014-present,mission acquisition,none,scene resolution product-dependent,overpass,georeferenced imagery,L1/L2 imagery,documented by provider,detection algorithm required,SAFE/GeoTIFF,direct but analysis pipeline required,OPEN_REGISTRATION,,Copernicus Sentinel data legal notice,required,allowed under Sentinel terms,allowed under Sentinel terms,cite provider/product,medium,P2,NO,"sensor input, not actor evidence without validated detection/matching",2026-08-25
xview3,DIU / Global Fishing Watch,xView3 SAR ship-detection challenge data,https://iuu.xview.us/,English,FISHING;OTHER,SAR_DETECTION;MODEL_DATA,Global sampled scenes,training corpus,static,none,about 1000 Sentinel-1 scenes,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,imagery+labels,analysis dataset,OPEN_REGISTRATION,,challenge/data terms,required,terms-controlled,terms-controlled,cite provider/product,low,P2,NO,"detector QA/training only, not Chinese actor tracks",2026-08-25
fusARship,Aerospace Information Research Institute CAS,FUSARShip,https://www.radars.ac.cn/web/data/getData?dataType=FUSAR,Simplified Chinese;English,OTHER,SAR_IMAGE;MODEL_DATA,Chinese coastal scenes,static benchmark,varies,ship categories; 6252 AIS-matched chips,16144 image chips,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,image chips/labels,not position-source ready,OPEN_OR_REQUEST,,dataset terms,required,dataset terms,dataset terms,cite provider/product,low,P3,NO,"classification benchmark, not track or actor identity source",2026-08-25
kaggle_china_coastal_ais,Kaggle / yccwcc,AIS open source data of China's coastal waters,https://www.kaggle.com/datasets/yccwcc/aisdata,English,FISHING;OTHER,AIS_TRACK,East China Sea;Yellow Sea;Chinese coast,described 2016-09/2020-11,static,de-identified/field set requires full retrieval,2.71 GB; 18320 CSV files reported by related paper,raw/processed AIS dependent,AIS coordinates,de-identified coastal AIS,documented by provider,lineage and cleaning require audit,CSV archive,likely direct after retrieval,OPEN_REGISTRATION,RT-KAGGLE-METADATA,CC BY 4.0 displayed,required,CC BY 4.0 if all files covered,allowed if license applies,cite provider/product,medium,P1,NO,metadata verified but anonymous direct download returned 404; registration and lineage audit pending,2026-08-25
heywhale_east_china_ais,HeyWhale,East China Sea fishing trajectory data,https://www.heywhale.com/mw/dataset/623b00c9ae5cf10017b18cc6/content,Simplified Chinese,FISHING,AIS_TRACK;BEIDOU_TRACK,East China Sea,2016-09/2020-11 described,static,de-identified vessel labels; gear type,18320 CSV files described,trajectory points,AIS/BeiDou coordinates,de-identified and classified,documented by provider,not explicit,CSV,likely direct,OPEN_REGISTRATION,,platform/dataset terms not yet verified,required,unclear,unclear,cite provider/product,medium,P1,NO,"high regional density potential; must prove access, origin, license, and overlap with Kaggle",2026-08-25
tianchi_fishing_trajectory,Alibaba Tianchi,Smart Ocean / fishing-vessel trajectory competition data,https://tianchi.aliyun.com/dataset/50009,Simplified Chinese,FISHING,BEIDOU_TRACK;PROCESSED_TRACK,Chinese coastal waters,competition snapshot,static,de-identified vessel IDs; gear labels,thousands of trajectories,trajectory points,reported projected/geographic coordinates require audit,competition data,documented by provider,not explicit,CSV,conversion/CRS audit required,OPEN_REGISTRATION,,competition dataset agreement,required,not established,not established,cite provider/product,medium,P2,NO,valuable research benchmark but license and original-data rights block default use,2026-08-25
github_puzhengpeng_fishing,Pu-Zhengpeng GitHub,Fishing competition mirror/code,https://github.com/Pu-Zhengpeng/Fishing,Simplified Chinese;English,FISHING,BEIDOU_TRACK;MODEL_DATA,Chinese coastal waters,competition snapshot,varies,none or provider-dependent,14656 train and 3664 test samples reported,provider-dependent,provider-dependent,provider-dependent,documented by provider,not explicit,CSV/code,possible after CRS audit,OPEN_DIRECT,,repository license/source-data license unclear,required,unclear,unclear,cite provider/product,low,P3,NO,secondary mirror with insufficient dataset lineage,2026-08-25
amti_dsm_investigation,Mongabay / CNN / Pulitzer Center,China deep-sea mining fleet investigation,https://news.mongabay.com/2026/06/how-we-tracked-chinas-deep-sea-mining-fleet/,English,RESEARCH,REFERENCE_TRACK,Western Pacific;Indian Ocean;Global,investigation window through 2026,varies,8 Chinese research vessels identified,case tracks,provider-dependent,provider-dependent,MarineTraffic plus Deep-Sea Mining Watch and reporting,documented by provider,not explicit,article/maps,requires connector or digitization,REFERENCE_ONLY,,article copyright; MarineTraffic data licensed,required,no raw commercial data,not applicable,cite provider/product,medium,P2,NO,citation snowball confirms data providers but cannot supply raw tracks,2026-08-25
marine_traffic_kpler,Kpler / MarineTraffic,Historical and live AIS APIs,https://www.marinetraffic.com/en/ais-api-services,English,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,Global,historical and live products,live,MMSI; IMO; name; vessel particulars,terrestrial+satellite AIS contract-dependent,seconds/minutes,AIS,commercial normalized feed,documented by provider,not explicit,API/CSV,BYO-license connector,COMMERCIAL,,commercial contract; redistribution restricted,required,prohibited unless contracted,paid license,cite provider/product,high,P3,NO,optional user-supplied license only; never bundle or scrape,2026-08-25
