source_id,provider,access_class,license_or_terms,attribution,redistribution,derivatives,commercial_use,account_or_contract,default_eligible,legal_review_needed,evidence_url,notes,last_checked_utc
chinapower_incidents,CSIS ChinaPower,OPEN_DIRECT,use without restriction; attribution requested,required,allowed,same as redistribution unless separately stated,allowed as stated,not required for tested direct artifact,YES,NO,https://chinapower.csis.org/data/raw-incident-data/,strong open incident/crosswalk evidence; geometry must remain qualified,2026-08-25
amti_hainan_militia,CSIS Asia Maritime Transparency Initiative,OPEN_DIRECT,page/sheet terms; factual identifiers with attribution,required,raw commercial tracks not included; identifiers attributed,same as redistribution unless separately stated,review page terms,not required for tested direct artifact,YES,NO,https://amti.csis.org/behind-the-curtain-an-update-on-hainans-maritime-militia/,"best public militia identity crosswalk, not a raw-track source",2026-08-25
amti_ccg_trackers,CSIS AMTI,REFERENCE_ONLY,commercial AIS underlying; article copyright,required,no raw AIS redistribution,same as redistribution unless separately stated,not applicable,not required for tested direct artifact,NO,YES before integration,https://amti.csis.org/,authoritative analytical reference; underlying tracks are commercial,2026-08-25
sealight,SeaLight / Gordian Knot Center,REFERENCE_ONLY,article copyright; commercial AIS underlying,required,no raw feed,same as redistribution unless separately stated,not applicable,not required for tested direct artifact,NO,YES before integration,https://www.sealight.live/,"excellent evidence discovery, not a redistributable data connector",2026-08-25
scspi,South China Sea Strategic Situation Probing Initiative,REFERENCE_ONLY,site/report copyright,required,no raw export verified,same as redistribution unless separately stated,not established,not required for tested direct artifact,NO,YES before integration,https://www.scspi.org/,important multilingual reference and crosswalk source,2026-08-25
jiia_survey_reports,Japan Institute of International Affairs,REFERENCE_ONLY,report copyright; commercial AIS underlying,required,no raw track,same as redistribution unless separately stated,not applicable,not required for tested direct artifact,NO,YES before integration,https://www.jiia.or.jp/eng/report/2026/06/research-report/prc-maritime-2026-01.html,valuable identity and activity evidence; not source data,2026-08-25
japan_joint_staff,Japan Ministry of Defense Joint Staff,OPEN_DIRECT,Japanese government publication terms,required,government terms with attribution,same as redistribution unless separately stated,review government terms,not required for tested direct artifact,NO,YES before integration,https://www.mod.go.jp/js/press/,best public PLAN observation family for East Asia; R3 did not newly retest a full archive harvest,2026-08-25
japan_jcg_senkaku,Japan Coast Guard,OPEN_DIRECT,Japanese government publication terms,required,government terms with attribution,same as redistribution unless separately stated,review government terms,not required for tested direct artifact,NO,YES before integration,https://www.kaiho.mlit.go.jp/mission/senkaku/senkaku.html,public longitudinal CCG presence series; full archive retrieval test remains before default,2026-08-25
taiwan_cga,Taiwan Coast Guard Administration,OPEN_DIRECT,Taiwan government open-data/publication terms; item review,required,with attribution and item review,same as redistribution unless separately stated,item terms,not required for tested direct artifact,NO,YES before integration,https://www.cga.gov.tw/,best public CCG evidence around Taiwan; archive-level retrieval/license test remains before default,2026-08-25
taiwan_mnd,Taiwan Ministry of National Defense,OPEN_DIRECT,Taiwan government publication terms,required,with attribution and item review,same as redistribution unless separately stated,item terms,not required for tested direct artifact,NO,YES before integration,https://www.mnd.gov.tw/,high temporal continuity but limited ship-level identity/coordinates,2026-08-25
philippines_pcg,Philippine Coast Guard / PIA,OPEN_DIRECT,Philippine government publication terms,required,government terms with attribution,same as redistribution unless separately stated,review,not required for tested direct artifact,NO,YES before integration,https://coastguard.gov.ph/,valuable corroboration and research-vessel identity evidence,2026-08-25
indonesia_bakamla,Indonesia Maritime Security Agency (Bakamla),OPEN_DIRECT,Indonesian government publication terms,required,government terms with attribution,same as redistribution unless separately stated,review,not required for tested direct artifact,NO,YES before integration,https://www.bakamla.go.id/publication/detail_news/bakamla-bayangi-kapal-survei-china-di-selat-sunda,useful official corroboration; no public bulk track feed,2026-08-25
ioji_reports,Indonesia Ocean Justice Initiative,REFERENCE_ONLY,report copyright; underlying AIS/satellite terms,required,no raw underlying feed established,same as redistribution unless separately stated,not applicable,not required for tested direct artifact,NO,YES before integration,https://oceanjusticeinitiative.org/,"strong Southeast Asian evidence reference, not reusable raw tracks",2026-08-25
china_msa_accidents,Maritime Safety Administration of China,OPEN_DIRECT,Chinese government publication terms,required,government publication terms; raw VTS data not granted,same as redistribution unless separately stated,review,not required for tested direct artifact,NO,YES before integration,https://www.msa.gov.cn/html/hxaq/sgjx/index.html,"public evidentiary extracts, not a bulk AIS archive",2026-08-25
taiwan_nodass,Taiwan Ocean Affairs Council / National Academy of Marine Research,OPEN_OR_REQUEST,Taiwan government/dataset-specific terms,required,dataset-specific,same as redistribution unless separately stated,dataset-specific,not required for tested direct artifact,NO,YES before integration,https://www.oac.gov.tw/ch/home.jsp?dataserno=202206210001&id=278&mcustomize=onemessages2_view.jsp&parentpath=0%2C4,explicitly relevant Taiwan portal; no actor-specific export or lawful bulk route was proven,2026-08-25
canada_dvd,Government of Canada,PARTNER_ONLY,government partner agreement,required,not public,same as redistribution unless separately stated,not public,required,NO,YES before integration,https://www.canada.ca/en/fisheries-oceans/news/2021/02/canada-launches-new-program-to-detect-and-track-illegal-fishing-vessels.html,use official releases as references only; no public raw access,2026-08-25
noaa_viirs_vbd,NOAA EOG / Earth Observation Group,OPEN_REGISTRATION,NOAA/EOG terms; attribution,required,review product terms,same as redistribution unless separately stated,review product terms,required,NO,YES before integration,https://eogdata.mines.edu/products/vbd/,"docs describe open files but tested path returned login HTML, so registration gate is explicit",2026-08-25
sentinel1_raw,Copernicus Data Space Ecosystem,OPEN_REGISTRATION,Copernicus Sentinel data legal notice,required,allowed under Sentinel terms,same as redistribution unless separately stated,allowed under Sentinel terms,required,NO,YES before integration,https://dataspace.copernicus.eu/,"sensor input, not actor evidence without validated detection/matching",2026-08-25
xview3,DIU / Global Fishing Watch,OPEN_REGISTRATION,challenge/data terms,required,terms-controlled,same as redistribution unless separately stated,terms-controlled,required,NO,YES before integration,https://iuu.xview.us/,"detector QA/training only, not Chinese actor tracks",2026-08-25
fusARship,Aerospace Information Research Institute CAS,OPEN_OR_REQUEST,dataset terms,required,dataset terms,same as redistribution unless separately stated,dataset terms,not required for tested direct artifact,NO,YES before integration,https://www.radars.ac.cn/web/data/getData?dataType=FUSAR,"classification benchmark, not track or actor identity source",2026-08-25
kaggle_china_coastal_ais,Kaggle / yccwcc,OPEN_REGISTRATION,CC BY 4.0 displayed,required,CC BY 4.0 if all files covered,same as redistribution unless separately stated,allowed if license applies,required,NO,YES before integration,https://www.kaggle.com/datasets/yccwcc/aisdata,metadata verified but anonymous direct download returned 404; registration and lineage audit pending,2026-08-25
heywhale_east_china_ais,HeyWhale,OPEN_REGISTRATION,platform/dataset terms not yet verified,required,unclear,same as redistribution unless separately stated,unclear,required,NO,YES before integration,https://www.heywhale.com/mw/dataset/623b00c9ae5cf10017b18cc6/content,"high regional density potential; must prove access, origin, license, and overlap with Kaggle",2026-08-25
tianchi_fishing_trajectory,Alibaba Tianchi,OPEN_REGISTRATION,competition dataset agreement,required,not established,same as redistribution unless separately stated,not established,required,NO,YES before integration,https://tianchi.aliyun.com/dataset/50009,valuable research benchmark but license and original-data rights block default use,2026-08-25
github_puzhengpeng_fishing,Pu-Zhengpeng GitHub,OPEN_DIRECT,repository license/source-data license unclear,required,unclear,same as redistribution unless separately stated,unclear,not required for tested direct artifact,NO,YES before integration,https://github.com/Pu-Zhengpeng/Fishing,secondary mirror with insufficient dataset lineage,2026-08-25
amti_dsm_investigation,Mongabay / CNN / Pulitzer Center,REFERENCE_ONLY,article copyright; MarineTraffic data licensed,required,no raw commercial data,same as redistribution unless separately stated,not applicable,not required for tested direct artifact,NO,YES before integration,https://news.mongabay.com/2026/06/how-we-tracked-chinas-deep-sea-mining-fleet/,citation snowball confirms data providers but cannot supply raw tracks,2026-08-25
marine_traffic_kpler,Kpler / MarineTraffic,COMMERCIAL,commercial contract; redistribution restricted,required,prohibited unless contracted,same as redistribution unless separately stated,paid license,required,NO,YES before integration,https://www.marinetraffic.com/en/ais-api-services,optional user-supplied license only; never bundle or scrape,2026-08-25
starboard,Starboard Maritime Intelligence,COMMERCIAL,commercial subscription,required,restricted,same as redistribution unless separately stated,paid,required,NO,YES before integration,https://www.starboard.nz/,underlies AMTI/SeaLight; not redistributable,2026-08-25
spire_maritime,Spire,COMMERCIAL,commercial contract,required,contract-dependent/restricted,same as redistribution unless separately stated,paid,required,NO,YES before integration,https://spire.com/maritime/,"optional enterprise connector, not canonical public source",2026-08-25
orbcomm_ais,ORBCOMM,COMMERCIAL,commercial contract,required,restricted,same as redistribution unless separately stated,paid,required,NO,YES before integration,https://www.orbcomm.com/en/solutions/maritime/ais,commercial source used downstream by monitoring systems,2026-08-25
skylight,Allen Institute for AI,PARTNER_ONLY,Skylight EULA; qualified users,required,EULA restricted,same as redistribution unless separately stated,not a public commercial feed,required,NO,YES before integration,https://support.skylight.global/,"free for qualified agencies/NGOs, not an open reproducible default",2026-08-25
seavision,US DOT Volpe / partner agencies,PARTNER_ONLY,SeaVision EULA and source permissions,required,source-dependent restricted,same as redistribution unless separately stated,not established,required,NO,YES before integration,https://info.seavision.volpe.dot.gov/,documentation exists but access is role/agency gated,2026-08-25
aishub,AISHub,CONTRIBUTOR_ONLY,data-sharing agreement,required,agreement-dependent,same as redistribution unless separately stated,agreement-dependent,required,NO,YES before integration,https://www.aishub.net/,requires contributing receiver and offers no historical archive,2026-08-25
ships66,Ships66 / 船顺,COMMERCIAL,commercial API key/contract,required,restricted,same as redistribution unless separately stated,paid,required,NO,YES before integration,https://developer.ships66.com/mapdoc/api/start.html,documented track endpoint; user-supplied contract only and never scraped,2026-08-25
hifleet,HiFleet,COMMERCIAL,commercial terms,required,restricted,same as redistribution unless separately stated,paid,required,NO,YES before integration,https://www.hifleet.com/,use for reference/licensed connector only; never scrape,2026-08-25
shipxy,ShipXY,COMMERCIAL,commercial terms,required,restricted,same as redistribution unless separately stated,paid,required,NO,YES before integration,https://www.shipxy.com/,reference/licensed access only; never scrape,2026-08-25
chinaports_ais,ChinaPorts,COMMERCIAL,commercial terms,required,restricted,same as redistribution unless separately stated,paid,required,NO,YES before integration,https://www.chinaports.com/,commercial reference; terms/access need procurement,2026-08-25
vesselfinder,VesselFinder,COMMERCIAL,site/commercial terms,required,restricted,same as redistribution unless separately stated,paid,required,NO,YES before integration,https://www.vesselfinder.com/,reference identity checks only unless separately licensed,2026-08-25
fleetmon,FleetMon,COMMERCIAL,commercial terms,required,restricted,same as redistribution unless separately stated,paid,required,NO,YES before integration,https://www.fleetmon.com/,reference/licensed only,2026-08-25
isa_contract_areas,International Seabed Authority,OPEN_DIRECT,ISA terms,required,review ISA terms,same as redistribution unless separately stated,review,not required for tested direct artifact,NO,YES before integration,https://www.isa.org.jm/exploration-contracts/,"essential context for DSM tracks, but not track evidence",2026-08-25
wcpfc_vessel_registry,Western and Central Pacific Fisheries Commission,OPEN_DIRECT,WCPFC terms/attribution,required,terms review before snapshot redistribution,same as redistribution unless separately stated,review,not required for tested direct artifact,NO,YES before integration,https://vessels.wcpfc.int/index.php/browse-rfv,high-value Chinese fishing/research identity crosswalk; R3 did not retrieve/profile full export,2026-08-25
iotc_vessel_data,Indian Ocean Tuna Commission,OPEN_DIRECT,IOTC/FAO data terms,required,dataset-specific terms,same as redistribution unless separately stated,review,not required for tested direct artifact,NO,YES before integration,https://iotc.org/data/reporting-data-iotc,"open machine-readable identity/context, not VMS or AIS tracks",2026-08-25
sprfmo_registry_activity,South Pacific RFMO,OPEN_DIRECT,SPRFMO data terms,required,terms review,same as redistribution unless separately stated,review,not required for tested direct artifact,NO,YES before integration,https://sprfmo.org/data-sets,"useful distant-water fleet identity/aggregate context, not individual positions",2026-08-25
mtad_synthetic,Academic authors,OPEN_DIRECT,repository terms,required,license review,same as redistribution unless separately stated,license review,not required for tested direct artifact,NO,YES before integration,https://github.com/gy65896/MTAD,not observed Chinese maritime evidence,2026-08-25
marinecadastre_ais,US BOEM/NOAA MarineCadastre.gov,OPEN_DIRECT,US government data terms,required,per US terms,same as redistribution unless separately stated,per US terms,not required for tested direct artifact,NO,YES before integration,https://marinecadastre.gov/ais/,excellent connector benchmark but wrong geography for this mission,2026-08-25
dma_danish_ais,Danish Maritime Authority,OPEN_DIRECT,Danish open-data terms,required,open terms,same as redistribution unless separately stated,open terms,not required for tested direct artifact,NO,YES before integration,https://dma.dk/safety-at-sea/navigational-information/ais-data,wrong geography; useful only as connector test fixture,2026-08-25
