vessel_key,hull_number,name_en_or_romanized,name_zh,aliases_or_former_names,imo,mmsi_primary,mmsi_secondary,actor_family,operator_or_institution,vessel_type,source_ids,identity_confidence,track_availability,notes,last_checked_utc
AMTI-MM-014,,Qiong Sansha Yu 00006,,,,412520145,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-015,,Qiong Sansha Yu 00007,,,,412550004,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-016,,Qiong Sansha Yu 00008,,,,412520146,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-017,,Qiong Sansha Yu 00009,,,,412520149,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-018,,Qiong Sansha Yu 00010,,,,412520151,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-019,,Qiong Sansha Yu 00101,,,,412520152,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-020,,Qiong Sansha Yu 00103,,,,412520154,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-021,,Qiong Sansha Yu 00104,,,,412520155,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-022,,Qiong Sansha Yu 00105,,,,412520156,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-023,,Qiong Sansha Yu 00106,,,,412520157,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-024,,Qiong Sansha Yu 00107,,,,412520158,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-025,,Qiong Sansha Yu 00108,,,,412520159,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-026,,Qiong Sansha Yu 00109,,,,412520161,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-027,,Qiong Sansha Yu 00110,,,,412520162,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-028,,Qiong Sansha Yu 00111,,,,412520163,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-029,,Qiong Sansha Yu 00112,,,,412520164,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-030,,Qiong Sansha Yu 00113,,,,412520165,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-031,,Qiong Sansha Yu 00114,,,,412520166,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-032,,Qiong Sansha Yu 00115,,,,412520167,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-033,,Qiong Sansha Yu 00116,,,,412520168,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-034,,Qiong Sansha Yu 00117,,,,412520169,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-035,,Qiong Sansha Yu 00118,,,,412520171,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-036,,Qiong Sansha Yu 00119,,,,412520172,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-037,,Qiong Sansha Yu 00120,,,,412520173,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-038,,Qiong Sansha Yu 00121,,,,412520147,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-039,,Qiong Sansha Yu 00122,,,,412520175,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-040,,Qiong Sansha Yu 00201,,,,412520201,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-041,,Qiong Sansha Yu 00202,,,,412520202,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-042,,Qiong Sansha Yu 00203,,,,412520203,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-043,,Qiong Sansha Yu 00204,,,,412520204,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-044,,Qiong Sansha Yu 00205,,,,412520205,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-045,,Qiong Sansha Yu 00206,,,,412520206,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-046,,Qiong Sansha Yu 00207,,,,412520207,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-047,,Qiong Sansha Yu 00208,,,,412520208,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-048,,Qiong Sansha Yu 00209,,,,412520176,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-049,,Qiong Sansha Yu 00210,,,,412520177,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-050,,Qiong Sansha Yu 00211,,,,412520178,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-051,,Qiong Sansha Yu 00212,,,,412520179,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-052,,Qiong Sansha Yu 00213,,,,412520181,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-053,,Qiong Sansha Yu 00214,,,,412520182,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-054,,Qiong Sansha Yu 00215,,,,412520183,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-055,,Qiong Sansha Yu 00216,,,,412520184,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-056,,Qiong Sansha Yu 00217,,,,412520185,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-057,,Qiong Sansha Yu 00218,,,,412520186,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-058,,Qiong Sansha Yu 00219,,,,412520187,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-059,,Qiong Sansha Yu 00220,,,,412520188,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-060,,Qiong Sansha Yu 00221,,,,412520189,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-061,,Qiong Sansha Yu 00222,,,,412520191,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-062,,Qiong Sansha Yu 00223,,,,412520209,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-063,,Qiong Sansha Yu 00224,,,,412520211,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-064,,Qiong Sansha Yu 00225,,,,412520212,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-065,,Qiong Sansha Yu 00226,,,,412520213,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-066,,Qiong Sansha Yu 00227,,,,412520214,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-067,,Qiong Sansha Yu 00228,,,,412520215,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-068,,Qiong Sansha Yu 00229,,,,412520216,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-069,,Qiong Sansha Yu 00230,,,,412520217,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-070,,Qiong Sansha Yu 00231,,,,412520218,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-071,,Qiong Sansha Yu 00232,,,,412520219,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-072,,Qiong Sansha Yu 00301,,,,212520221,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-073,,Qiong Sansha Yu 00302,,,,412520222,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-074,,Qiong Sansha Yu 00303,,,,412520223,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-075,,Qiong Sansha Yu 00304,,,,412520224,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-076,,Qiong Sansha Yu 00305,,,,412520225,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-077,,Qiong Sansha Yu 00306,,,,412520226,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-078,,Qiong Sansha Yu 00307,,,,412520227,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-079,,Qiong Sansha Yu 00308,,,,412520228,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-080,,Qiong Sansha Yu 00309,,,,412520229,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-081,,Qiong Sansha Yu 00310,,,,412520231,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-082,,Qiong Sansha Yu 00311,,,,412520232,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
AMTI-MM-083,,Qiong Sansha Yu 00312,,,,412520233,,MILITIA;FISHING,Hainan fishing fleet; classification by AMTI,fishing vessel / suspected maritime militia,amti_hainan_militia,HIGH_CONFIDENCE,reference/commercial underlying AIS; no raw track in census,Public AMTI identity row; do not promote analyst confidence or infer missing Chinese name.,2026-08-25
