source_id,provider,actor_submatrix,evidence_type,Taiwan East,Taiwan South,Taiwan Strait,Bashi/Luzon Strait,East China Sea,Senkaku/Diaoyu,South China Sea,Yellow Sea,Western Pacific,Indian Ocean,Global,access_class,connector_priority,coverage_note
seadatanet,SeaDataNet,RESEARCH,CRUISE_TRACK;STATION_POSITIONS,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,OPEN_REGISTRATION,P2,discovery value; limited expected Chinese operator coverage
scsdi_dataverse_v1,South China Sea Data Initiative / Harvard Dataverse,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,EVENT;OFFICIAL_OBSERVATION,,,,EVENT,,,EVENT,,,,,OPEN_DIRECT,P0,best open uncertainty-explicit regional event source
scsdi_live_csv,South China Sea Data Initiative,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,EVENT,,,,EVENT,,,EVENT,,,,,OPEN_DIRECT,P3,use pinned Dataverse v1 until schema and versioning are repaired
chinapower_incidents,CSIS ChinaPower,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,EVENT;OFFICIAL_OBSERVATION,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,OPEN_DIRECT,P0,strong open incident/crosswalk evidence; geometry must remain qualified
amti_hainan_militia,CSIS Asia Maritime Transparency Initiative,MILITIA;FISHING,VESSEL_IDENTITY;REFERENCE_TRACK,,,,REF,,,REF,,,,,OPEN_DIRECT,P0,"best public militia identity crosswalk, not a raw-track source"
amti_ccg_trackers,CSIS AMTI,CCG,REFERENCE_TRACK;EVENT,EVENT,EVENT,EVENT,EVENT,,EVENT,EVENT,EVENT,,,,REFERENCE_ONLY,P1,authoritative analytical reference; underlying tracks are commercial
sealight,SeaLight / Gordian Knot Center,CCG;MILITIA;FISHING;RESEARCH,REFERENCE_TRACK;SATELLITE_IMAGE,REF,REF,REF,REF,REF,,REF,,,,,REFERENCE_ONLY,P2,"excellent evidence discovery, not a redistributable data connector"
scspi,South China Sea Strategic Situation Probing Initiative,PLAN;CCG;RESEARCH;FISHING;OTHER,REFERENCE_TRACK;EVENT,,,,EVENT,,,EVENT,,EVENT,,,REFERENCE_ONLY,P2,important multilingual reference and crosswalk source
jiia_survey_reports,Japan Institute of International Affairs,RESEARCH,REFERENCE_TRACK,REF,REF,REF,,REF,,,,REF,,,REFERENCE_ONLY,P2,valuable identity and activity evidence; not source data
japan_joint_staff,Japan Ministry of Defense Joint Staff,PLAN;RESEARCH,OFFICIAL_OBSERVATION;MAP_DERIVED,EVENT,EVENT,EVENT,EVENT,EVENT,EVENT,,,EVENT,,,OPEN_DIRECT,P0,best public PLAN observation family for East Asia; R3 did not newly retest a full archive harvest
japan_jcg_senkaku,Japan Coast Guard,CCG,OFFICIAL_OBSERVATION;AGGREGATE_PRESENCE,,,,,AGG,AGG,,,,,,OPEN_DIRECT,P0,public longitudinal CCG presence series; full archive retrieval test remains before default
taiwan_cga,Taiwan Coast Guard Administration,CCG;FISHING;MILITIA;RESEARCH;OTHER,OFFICIAL_OBSERVATION;EVENT,EVENT,EVENT,EVENT,EVENT,,,EVENT,,,,,OPEN_DIRECT,P0,best public CCG evidence around Taiwan; archive-level retrieval/license test remains before default
taiwan_mnd,Taiwan Ministry of National Defense,PLAN,OFFICIAL_OBSERVATION;MAP_DERIVED,EVENT,EVENT,EVENT,EVENT,,,,,EVENT,,,OPEN_DIRECT,P1,high temporal continuity but limited ship-level identity/coordinates
philippines_pcg,Philippine Coast Guard / PIA,CCG;MILITIA;FISHING;RESEARCH,OFFICIAL_OBSERVATION;EVENT,,,,EVENT,,,EVENT,,,,,OPEN_DIRECT,P1,valuable corroboration and research-vessel identity evidence
indonesia_bakamla,Indonesia Maritime Security Agency (Bakamla),CCG;RESEARCH;FISHING,OFFICIAL_OBSERVATION;EVENT,,,,EVENT,,,EVENT,,,EVENT,,OPEN_DIRECT,P1,useful official corroboration; no public bulk track feed
ioji_reports,Indonesia Ocean Justice Initiative,CCG;RESEARCH;FISHING,REFERENCE_TRACK;EVENT,,,,EVENT,,,EVENT,,,EVENT,,REFERENCE_ONLY,P2,"strong Southeast Asian evidence reference, not reusable raw tracks"
china_msa_accidents,Maritime Safety Administration of China,OTHER;FISHING;RESEARCH,OFFICIAL_OBSERVATION;AIS_EXCERPT;EVENT,,,,EVENT,EVENT,,EVENT,EVENT,,,,OPEN_DIRECT,P2,"public evidentiary extracts, not a bulk AIS archive"
taiwan_nodass,Taiwan Ocean Affairs Council / National Academy of Marine Research,OTHER;FISHING;RESEARCH,AIS_POSITION;CONTEXT_DATA,REF,REF,REF,REF,,,,,,,,OPEN_OR_REQUEST,P1,explicitly relevant Taiwan portal; no actor-specific export or lawful bulk route was proven
noaa_viirs_vbd,NOAA EOG / Earth Observation Group,FISHING;MILITIA;OTHER,VIIRS_DETECTION,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,OPEN_REGISTRATION,P1,"docs describe open files but tested path returned login HTML, so registration gate is explicit"
sentinel1_raw,Copernicus Data Space Ecosystem,FISHING;MILITIA;CCG;PLAN;RESEARCH;OTHER,SAR_IMAGE,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,OPEN_REGISTRATION,P2,"sensor input, not actor evidence without validated detection/matching"
xview3,DIU / Global Fishing Watch,FISHING;OTHER,SAR_DETECTION;MODEL_DATA,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,OPEN_REGISTRATION,P2,"detector QA/training only, not Chinese actor tracks"
fusARship,Aerospace Information Research Institute CAS,OTHER,SAR_IMAGE;MODEL_DATA,,,,,,,,,,,,OPEN_OR_REQUEST,P3,"classification benchmark, not track or actor identity source"
kaggle_china_coastal_ais,Kaggle / yccwcc,FISHING;OTHER,AIS_TRACK,,,,,RAW,,,RAW,,,,OPEN_REGISTRATION,P1,metadata verified but anonymous direct download returned 404; registration and lineage audit pending
heywhale_east_china_ais,HeyWhale,FISHING,AIS_TRACK;BEIDOU_TRACK,,,,,RAW,,,,,,,OPEN_REGISTRATION,P1,"high regional density potential; must prove access, origin, license, and overlap with Kaggle"
tianchi_fishing_trajectory,Alibaba Tianchi,FISHING,BEIDOU_TRACK;PROCESSED_TRACK,,,,,,,,,,,,OPEN_REGISTRATION,P2,valuable research benchmark but license and original-data rights block default use
github_puzhengpeng_fishing,Pu-Zhengpeng GitHub,FISHING,BEIDOU_TRACK;MODEL_DATA,,,,,,,,,,,,OPEN_DIRECT,P3,secondary mirror with insufficient dataset lineage
amti_dsm_investigation,Mongabay / CNN / Pulitzer Center,RESEARCH,REFERENCE_TRACK,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,REFERENCE_ONLY,P2,citation snowball confirms data providers but cannot supply raw tracks
marine_traffic_kpler,Kpler / MarineTraffic,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,COMMERCIAL,P3,optional user-supplied license only; never bundle or scrape
starboard,Starboard Maritime Intelligence,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK;EVENT;SATELLITE_IMAGE,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,COMMERCIAL,P3,underlies AMTI/SeaLight; not redistributable
spire_maritime,Spire,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,COMMERCIAL,P3,"optional enterprise connector, not canonical public source"
orbcomm_ais,ORBCOMM,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,COMMERCIAL,P3,commercial source used downstream by monitoring systems
skylight,Allen Institute for AI,FISHING;MILITIA;OTHER,EVENT;SAR_DETECTION;AIS_GAP,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,PARTNER_ONLY,P2,"free for qualified agencies/NGOs, not an open reproducible default"
seavision,US DOT Volpe / partner agencies,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK;SAR_DETECTION,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,PARTNER_ONLY,P2,documentation exists but access is role/agency gated
aishub,AISHub,OTHER;FISHING;RESEARCH,AIS_POSITION,,,,,,,,,,,,CONTRIBUTOR_ONLY,P3,requires contributing receiver and offers no historical archive
ships66,Ships66 / 船顺,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,COMMERCIAL,P3,documented track endpoint; user-supplied contract only and never scraped
hifleet,HiFleet,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,COMMERCIAL,P3,use for reference/licensed connector only; never scrape
shipxy,ShipXY,PLAN;CCG;RESEARCH;FISHING;MILITIA;OTHER,AIS_TRACK,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,COMMERCIAL,P3,reference/licensed access only; never scrape
chinaports_ais,ChinaPorts,OTHER;FISHING;RESEARCH,AIS_TRACK,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,COMMERCIAL,P3,commercial reference; terms/access need procurement
vesselfinder,VesselFinder,OTHER;FISHING;RESEARCH,AIS_POSITION,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,COMMERCIAL,P3,reference identity checks only unless separately licensed
fleetmon,FleetMon,OTHER;FISHING;RESEARCH,AIS_TRACK,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,RAW,COMMERCIAL,P3,reference/licensed only
isa_contract_areas,International Seabed Authority,RESEARCH;OTHER,CONTEXT_GEOMETRY,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,OPEN_DIRECT,P1,"essential context for DSM tracks, but not track evidence"
wcpfc_vessel_registry,Western and Central Pacific Fisheries Commission,FISHING;RESEARCH,VESSEL_IDENTITY;AUTHORIZATION,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,REF,OPEN_DIRECT,P1,high-value Chinese fishing/research identity crosswalk; R3 did not retrieve/profile full export
iotc_vessel_data,Indian Ocean Tuna Commission,FISHING,VESSEL_IDENTITY;AUTHORIZATION;AGGREGATE_ACTIVITY,,,,,,,,,,AGG,,OPEN_DIRECT,P1,"open machine-readable identity/context, not VMS or AIS tracks"
sprfmo_registry_activity,South Pacific RFMO,FISHING;RESEARCH,VESSEL_IDENTITY;AUTHORIZATION;AGGREGATE_ACTIVITY,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,OPEN_DIRECT,P1,"useful distant-water fleet identity/aggregate context, not individual positions"
gfw_vessel_search_ui,Global Fishing Watch,FISHING;OTHER,VESSEL_IDENTITY,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,OPEN_INTERACTIVE_VIEW,P2,interactive browser view; actual workspace failed
gfw_vessel_search_api,Global Fishing Watch,FISHING;OTHER,VESSEL_IDENTITY,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,ACCOUNT_REQUIRED,P1,structured identity search; token required and anonymous test returned 401
gfw_individual_track_ui,Global Fishing Watch,FISHING;OTHER,INDIVIDUAL_TRACK_DISPLAY,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,OPEN_INTERACTIVE_VIEW,P2,documented display; actual vessel selection not reached
gfw_individual_track_export,Global Fishing Watch,FISHING;OTHER,INDIVIDUAL_TRACK_EXPORT,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,ACCOUNT_REQUIRED,P1,documented account-gated export; no authenticated retrieval in R3C
gfw_viirs_related,Global Fishing Watch,FISHING;MILITIA;OTHER,VIIRS_DETECTION,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,DETECT,ACCOUNT_REQUIRED,P2,detection product; not an individual-track interface
dsm_watch_vessel_event_access,Global Fishing Watch / Benioff Ocean Science Laboratory,RESEARCH;OTHER,VESSEL_IDENTITY;EVENT_EXPORT,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,AGG,ACCOUNT_REQUIRED,P2,actual UI denied vessel search and required login for event downloads
